Designator,Mid X,Mid Y,Rotation,Layer
R29,64.4955,26.797,270.0,top
R3,76.962,27.686,180.0,top
R30,34.925,3.048,90.0,top
R31,45.085,39.243,0.0,top
R32,42.037,39.243,0.0,top
R33,38.862,57.531,180.0,top
R35,38.862,55.88,180.0,top
R36,41.91,55.88,180.0,top
R39,39.751,36.957,90.0,top
R4,59.817,39.624,180.0,top
R41,50.673,36.957,90.0,top
R42,53.721,36.957,90.0,top
R43,56.769,39.878,270.0,top
R44,52.197,36.957,90.0,top
R45,55.245,36.957,90.0,top
R46,56.769,36.957,90.0,top
R47,49.149,36.957,90.0,top
R48,47.371,36.957,90.0,top
R49,39.1282,11.53935,0.0,top
R5,58.293,42.291,270.0,top
R50,42.3794,18.39735,180.0,top
R51,39.1282,6.15455,180.0,top
R52,42.3794,6.15455,0.0,top
R53,42.3794,16.92415,0.0,top
R54,42.3794,11.53935,0.0,top
R55,85.344,57.023,90.0,top
R56,82.931,56.769,0.0,top
R57,75.819,56.769,180.0,top
R58,59.817,48.26,180.0,top
R59,59.817,45.593,90.0,top
R6,24.257,5.969,90.0,top
R60,64.135,80.899,180.0,top
R61,64.135,78.486,90.0,top
R62,64.135,72.39,270.0,top
R63,59.817,50.546,180.0,top
R64,58.293,53.213,270.0,top
R65,34.544,80.772,180.0,top
R66,34.798,78.232,90.0,top
R67,34.671,71.374,270.0,top
R68,36.703,50.546,0.0,top
R69,38.227,53.213,270.0,top
R7,54.61,42.164,0.0,top
R70,16.637,59.944,180.0,top
R71,13.589,59.944,0.0,top
R72,22.733,59.944,0.0,top
R73,36.703,48.26,0.0,top
R74,36.703,45.593,90.0,top
R75,16.637,30.734,180.0,top
R76,13.589,30.734,0.0,top
R77,22.733,30.734,0.0,top
R78,36.703,39.497,0.0,top
R79,38.227,42.164,270.0,top
R8,24.257,2.921,90.0,top
R80,79.629,33.401,0.0,top
R81,79.629,62.611,0.0,top
R82,58.42,75.184,90.0,top
R83,28.829,75.057,90.0,top
R84,21.331,54.013,180.0,top
R85,21.476,24.892,180.0,top
R86,80.01,27.686,0.0,top
R87,79.883,56.769,0.0,top
R88,64.135,75.438,90.0,top
R89,34.798,75.184,90.0,top
R9,1.016,30.988,270.0,top
R90,19.685,59.944,180.0,top
R91,19.685,30.734,180.0,top
R92,20.701,5.969,270.0,top
R93,34.798,9.271,180.0,top
R94,34.798,12.319,180.0,top
R95,57.023,7.874,180.0,top
R96,65.151,6.731,270.0,top
R97,58.3692,10.16,90.0,top
R98,64.4955,29.845,90.0,top
R99,59.817,23.368,90.0,top
SW3,62.484,3.048,180.0,top
SW4,40.894,3.048,180.0,top
TH1,35.814,57.404,0.0,top
TH2,48.26,21.59,0.0,top
U1,82.042,30.607,0.0,top
U10,29.083,15.367,180.0,top
U11,47.134,10.668,90.0,top
U12,50.165,10.668,90.0,top
U13,53.213,10.668,90.0,top
U14,53.1755,18.542,90.0,top
U15,50.1275,18.5795,90.0,top
U16,47.0795,18.5795,90.0,top
U17,56.2315,10.9965,270.0,top
U18,61.976,6.731,0.0,top
U19,60.96,27.686,0.0,top
U2,44.45,27.686,180.0,top
U20,30.099,4.445,90.0,top
U21,62.1284,15.24,0.0,top
U3,48.26,48.26,0.0,top
U4,52.197,27.94,180.0,top
U5,82.042,59.817,0.0,top
U6,61.214,77.597,90.0,top
U7,31.623,77.597,90.0,top
U8,18.669,57.023,180.0,top
U9,18.796,27.805,180.0,top
Y1,28.575,27.305,270.0,top
